class,rep,magnetization
6,8,0.7882653061224489
6,9,0.7857142857142857
6,10,0.7933673469387755
6,11,0.7780612244897959
6,12,0.7882653061224489
6,13,0.7806122448979592
6,14,0.7755102040816326
6,15,0.7857142857142857
6,16,0.7755102040816326
6,17,0.7831632653061225
6,18,0.7908163265306123
6,19,0.7831632653061225
6,20,0.7831632653061225
6,21,0.7882653061224489
6,22,0.7857142857142857
6,23,0.7780612244897959
6,24,0.7780612244897959
6,25,0.7933673469387755
6,26,0.7780612244897959
6,27,0.7908163265306123
6,28,0.7933673469387755
6,29,0.7704081632653061
6,30,0.7882653061224489
6,31,0.7806122448979592
7,0,0.8367346938775511
7,1,0.8316326530612245
7,2,0.826530612244898
7,3,0.8290816326530612
7,4,0.8239795918367347
7,5,0.8188775510204082
7,6,0.8341836734693877
7,7,0.8214285714285714
7,8,0.826530612244898
7,9,0.8137755102040817
7,10,0.8341836734693877
7,11,0.826530612244898
7,12,0.8290816326530612
7,13,0.826530612244898
7,14,0.826530612244898
7,15,0.826530612244898
7,16,0.8137755102040817
7,17,0.8316326530612245
7,18,0.8086734693877551
7,19,0.8112244897959183
7,20,0.8214285714285714
7,21,0.8188775510204082
7,22,0.8239795918367347
7,23,0.826530612244898
7,24,0.8341836734693877
7,25,0.8316326530612245
7,26,0.8239795918367347
7,27,0.8163265306122449
7,28,0.8137755102040817
7,29,0.8214285714285714
7,30,0.8290816326530612
7,31,0.8239795918367347
8,0,0.7882653061224489
8,1,0.7780612244897959
8,2,0.7857142857142857
8,3,0.7959183673469388
8,4,0.7882653061224489
8,5,0.7729591836734694
8,6,0.7959183673469388
8,7,0.7908163265306123
8,8,0.7755102040816326
8,9,0.8010204081632653
8,10,0.7857142857142857
8,11,0.7908163265306123
8,12,0.7653061224489796
8,13,0.7882653061224489
8,14,0.7806122448979592
8,15,0.7806122448979592
8,16,0.7755102040816326
8,17,0.7755102040816326
8,18,0.7780612244897959
8,19,0.7780612244897959
8,20,0.7831632653061225
8,21,0.7704081632653061
8,22,0.7678571428571429
8,23,0.7959183673469388
8,24,0.7857142857142857
8,25,0.7806122448979592
8,26,0.7882653061224489
8,27,0.7908163265306123
8,28,0.7831632653061225
8,29,0.7780612244897959
8,30,0.7908163265306123
8,31,0.7908163265306123
9,0,0.8443877551020408
9,1,0.8520408163265306
9,2,0.8392857142857143
9,3,0.8367346938775511
9,4,0.8367346938775511
9,5,0.8494897959183674
9,6,0.8367346938775511
9,7,0.8418367346938775
9,8,0.8494897959183674
9,9,0.826530612244898
9,10,0.8571428571428571
9,11,0.8469387755102041
9,12,0.8392857142857143
9,13,0.8367346938775511
9,14,0.8367346938775511
9,15,0.826530612244898
9,16,0.8392857142857143
9,17,0.8418367346938775
9,18,0.8443877551020408
9,19,0.8469387755102041
9,20,0.8443877551020408
9,21,0.8392857142857143
9,22,0.8418367346938775
9,23,0.8188775510204082
9,24,0.8418367346938775
9,25,0.8443877551020408
9,26,0.8341836734693877
9,27,0.8367346938775511
9,28,0.8290816326530612
9,29,0.8418367346938775
9,30,0.8469387755102041
9,31,0.8520408163265306
